Neuron,NonNeuronal
Prph,Tjp2
Prps1,Tlcd1
Prr12,Tm7sf2
Prrc2b,Tmc7
Prrt2,Tmed1
Prtn3,Tlcd5
Prune2,Tmem161b
Psd,Tmem176b
Psg16,Tmem200c
Psme4,Tmem218
Ptchd1,Tmem229a
Pth2r,Tmem259
Ptprn2,Tmem82
Pvt1,Tmem86b
Pycr1,Tmprss7
Qser1,Tnc
Rab11fip2,Tnfaip8
Rab11fip4,Tnfrsf19
Rab26,Tnni3
Rab3a,Tnnt3
Rab3b,Tob1
Rab3c,Tom1l1
Rab3d,Tom1l2
Rab6b,Tpbg
Rab9b,Tpm2
Rabif,Tpmt
Rac3,Traf3
Radil,Trak1
Rai1,Trh
Rai2,Trib2
Ralgps2,Tril
Ralyl,Trim9
Ramp3,Trip11
Rapgefl1,Trmt12
Rarb,Trpm3
Rasgef1a,Trpm7
Rasgef1c,Trps1
Rasgrf2,Tsc22d4
Rasgrp2,Tsga10
Rassf6,Tsku
Rassf7,Tspan7
Rb1,Tst
Rbfox1,Tsx
Rbfox2,Ttc12
