Gene Symbol,Negative logP
ADAMTS6,1.746589295
SEC24B,1.49172622
AATK,1.616076971
CTRB1,1.418198202
RPIA,1.644855104
ZNF175,1.343374829
DYRK3,1.325359276
COL22A1,1.325818837
RFX3,1.684113584
RHOT2,1.660329976
YOD1,1.793282037
IFT122,2.316970983
CYP4Z1,2.554800704
MS4A6A,13.74465512
GALR3,1.832210221
ECH1,2.11379702
VPS36,2.067480576
UBN1,1.695509472
RTN2,1.871471496
WIZ,1.646911235
COLGALT1,1.333884677
HOXD8,2.336770365
UFC1,1.454383667
GNB1L,1.537572052
NUPL2,1.307787808
STARD10,1.739570824
USP6NL,1.609683232
TTC8,3.012119322
ADAMTSL3,1.630190641
HSD3B7,1.771959135
GPRC5B,3.162398937
RNF139,2.080853891
CENPO,1.376585296
EXOSC7,1.998179783
ADAMTSL2,1.30533339
STARD7,2.448318277
DDX25,1.362050202
FLRT2,2.135898488
SSH2,1.532525089
ELSPBP1,1.85216915
ZAR1,1.376843783
COLEC10,1.30895389
PPT2,2.528312323
STAP1,1.910236146
SLC24A4,7.983259073
TRPC4AP,1.916604892
GPATCH8,2.047101054
ZNF652,2.157996449
STRN4,2.274284334
MYH7B,1.682521686
SYPL1,1.512239629
BCL9L,1.383010149
SLC52A1,1.4292353
ACRBP,2.099922498
ZC3H15,1.539598348
MARCH7,2.049995584
ZDHHC3,1.549012295
TRAM1,3.765280295
PHF3,1.791666156
CSNK1G1,2.823677179
LIN7B,1.726258164
RBBP9,1.515557792
MIPEP,2.840763767
DCANP1,1.798029658
PCSK4,1.421223304
KDELR2,2.143748552
SAMSN1,1.80106813
UAP1,2.029862417
HARS2,2.205930416
ISYNA1,6.310176332
TEX10,1.433267971
WDR12,2.149390519
EIF4EBP3,2.160170134
NDUFAB1,1.445971424
AQR,1.523501681
DOK3,1.846703551
SH3BP1,1.473040745
NDUFA2,2.082127045
NT5C,1.808074148
GPR161,1.59744632
TREML2,4.042565124
MS4A3,8.593187407
HYDIN,2.405673759
PPM1E,2.861697302
DMWD,7.049990712
PUS10,1.422404809
THSD1,1.918796761
MESD,1.435227446
STAG3,2.762581944
PEF1,1.554785124
GCC1,2.748994827
TBC1D7,1.593153367
ZNF23,1.536540029
PPP4R1,1.461966957
MPIG6B,1.507980358
YLPM1,2.069315801
MGAT4B,4.112343322
EFL1,4.237786733
BOLA2,1.323708871
NSRP1,1.874031037
RPE,2.401439282
SEZ6L2,2.022395271
SNX15,2.639065948
POLR3F,1.362320183
ROGDI,2.147727444
OPN5,2.896230477
PGGT1B,2.728855682
TAF6L,2.285293121
GTF3C5,2.11667364
YPEL3,1.411549009
TASOR,2.054344344
TOM1L2,1.514150859
FBXL7,1.471700488
VAX1,1.303748484
SPPL2A,3.113746227
NAPRT,1.606898831
DOC2A,1.804543166
BMS1,1.488183459
HBQ1,1.62677527
MIXL1,1.387152593
ARHGAP15,1.558320571
TRAPPC6A,14.11795385
SHC4,3.185392861
FAM129B,1.319138937
TSR1,1.717287277
AKNA,1.62107545
KLC3,6.254355376
ZNF74,1.83271221
USP30,1.399931465
DERL3,1.684344475
METTL14,2.122260179
PDZD7,1.790860464
CLP1,1.456118122
ATG2B,1.330320584
BLOC1S3,13.02144061
DNAJC11,1.664762813
RAB6B,2.205254102
RSPH1,1.400575471
PTCD1,1.868991187
APOL6,1.634380998
NKTR,1.670805585
TMED9,1.651850966
NDUFA12,1.33016265
NDUFAF6,1.721749558
RNPC3,1.392201966
CHID1,3.295943905
MYDGF,1.826901182
PPP1R1A,1.510308645
PRXL2A,1.352098924
ADGRE1,2.219056545
OR7D4,1.518872815
ABHD16A,1.654685094
MRPS23,1.477112569
PHOSPHO1,1.335301626
TBKBP1,2.669342765
TCP10L,2.62107545
STK40,1.51574288
SSSCA1,1.789413975
KRT34,1.579697615
PLEKHA3,2.269177364
FBXO25,1.63830993
SLC39A13,9.579862645
ABLIM3,1.470325873
ARMC9,1.905319287
PIGG,1.704279
COX8A,1.856017708
ARHGAP11A,1.443962983
TIPRL,1.7932011
ACMSD,2.557081455
COLCA1,2.847100404
SEPHS1,1.342513892
PRR13,1.662301194
PTPMT1,3.896162084
CAMTA2,1.419166224
ARHGDIG,1.501455128
INTS2,3.177576913
SCAF4,1.709030991
ATG2A,1.492022759
ADAD1,1.606424797
SHKBP1,1.557347802
CACTIN,1.426397448
PPP4R3B,1.43993787
EVI2A,1.462735141
GBX2,1.315477788
RALGAPA1,1.469813113
ARPC1A,2.728878944
RRS1,1.396119792
ZMYM4,1.779525794
CCT6B,2.466507566
FCGR1B,1.436246083
IRF2BP1,2.097317355
NAA40,1.916354072
AGBL2,5.959872558
KLHL9,2.038066598
CSMD2,1.871600731
KRT83,1.637216037
SIGLEC14,1.312890375
APOBEC2,1.391687957
GNG4,1.323626515
DCLK2,1.97637721
CHP2,1.717128755
TSPAN5,1.693746579
NGEF,2.190251795
LYPLA2,1.482764503
KRT33B,1.787386303
DDN,1.355935794
ACSM2A,1.696415196
TRIM34,1.786322898
HBM,2.376130732
ARAP2,1.566454169
ARL6IP4,1.478234474
SIDT2,1.605460769
RUNDC3B,1.584525832
FBXL19,1.941687879
CD302,1.767842812
BBIP1,2.823416819
LHFPL5,1.798985442
MRPL42,1.619716382
AOC2,1.441267436
ATPAF2,1.991016796
NFATC2IP,1.584609262
MRPL24,1.314813797
SDF2L1,2.43993787
GLYR1,1.8810082
EXOC3L2,23.33178187
EDEM2,2.009554583
ADAM29,1.910801633
TUBGCP5,1.874063533
GEMIN7,10.95144168
QPCTL,4.699122034
STYX,2.114831088
REEP6,2.463201752
MBIP,1.44088372
ZNF622,1.958054928
PLEKHA6,2.051367008
TRIM35,2.070325682
FBXL18,2.396682377
PDAP1,2.040786833
MPHOSPH9,1.434081378
TMPRSS11E,1.598427154
RPAIN,1.957424488
XYLB,1.403172075
DEXI,4.614411599
RFTN1,1.464275597
AFG1L,1.503873294
SHISA3,1.44789174
FCHO1,1.481446581
KLHL21,1.345602034
SPATA12,1.839501456
SLC35D1,1.337894099
NDUFAF7,1.871730005
APBB3,2.113024489
ZNF35,3.557457521
TSHZ2,1.413356443
H1FOO,2.027963874
